simID	f0	f1	f2	f3	S_m	thetapi_m	thetaw_m	thetah_m	hprime_m	tajimasd_m	numSing_m	hapdiv_m	rsq_m	D_m	Dprime_m	div_m	S_sd	thetapi_sd	thetaw_sd	thetah_sd	hprime_sd	tajimasd_sd	numSing_sd	hapdiv_sd	rsq_sd	D_sd	Dprime_sd	div_sd
sim187	0.2	0.5	0.25	0.05	800.87	0.01738	0.04624	0.00817	0.33438	-1.79052	0.0	0.73575	0.02297	0.00152	-0.76524	0.22198	194.40085	0.00539	0.01122	0.00444	0.1084	0.36014	0.0	0.01756	0.00872	0.00158	0.12132	0.01021
sim188	0.45	0.25	0.15	0.15	992.02	0.01873	0.05728	0.0086	0.29739	-1.96343	0.0	0.74404	0.01785	0.001	-0.8123	0.22273	155.11937	0.00704	0.00896	0.00607	0.10224	0.35808	0.0	0.01645	0.00625	0.00132	0.11216	0.01329
sim189	0.2	0.6	0.05	0.15	1057.74	0.02302	0.06107	0.01122	0.32448	-1.82872	0.0	0.74143	0.02061	0.00109	-0.79589	0.21686	174.34099	0.00789	0.01007	0.007	0.08763	0.32364	0.0	0.01607	0.00685	0.00106	0.0978	0.01278
sim190	0.9	0.05	0.0	0.05	58.49	0.00469	0.00338	0.00214	1.12273	1.09343	0.0	0.71439	0.17371	0.01689	-0.28434	0.1569	15.10602	0.00153	0.00087	0.00126	0.33914	0.99307	0.0	0.02283	0.05717	0.01911	0.31252	0.00744
sim191	0.75	0.15	0.05	0.05	1684.97	0.04861	0.09729	0.02273	0.44089	-1.47684	0.0	0.74209	0.02907	0.00212	-0.71022	0.23285	285.39381	0.01576	0.01648	0.01292	0.14442	0.35786	0.0	0.01607	0.00912	0.00154	0.10794	0.0201
sim192	0.25	0.25	0.1	0.4	633.68	0.00849	0.03659	0.00291	0.25287	-2.23536	0.0	0.74371	0.01325	0.00044	-0.87216	0.18246	103.87268	0.00333	0.006	0.0025	0.08401	0.25834	0.0	0.01588	0.00385	0.00056	0.06906	0.01005
sim193	0.15	0.7	0.05	0.1	1035.93	0.02789	0.05981	0.01334	0.40628	-1.55236	0.0	0.74188	0.02756	0.00184	-0.74922	0.22055	180.99145	0.01004	0.01045	0.00818	0.16067	0.47871	0.0	0.01506	0.01242	0.00233	0.1358	0.01409
sim194	0.05	0.6	0.3	0.05	704.99	0.01545	0.04071	0.00726	0.33958	-1.78039	0.0	0.73733	0.02314	0.00133	-0.78259	0.21362	134.34912	0.00493	0.00776	0.00412	0.14574	0.41473	0.0	0.01754	0.00904	0.00136	0.10911	0.01088
sim195	0.8	0.0	0.1	0.1	1500.33	0.03623	0.08663	0.0167	0.37799	-1.71085	0.0	0.74428	0.02294	0.00147	-0.76555	0.23751	254.5344	0.01437	0.0147	0.01293	0.15805	0.39853	0.0	0.01672	0.00843	0.00131	0.10131	0.02334
sim196	0.8	0.15	0.0	0.05	746.23	0.06856	0.04309	0.03051	1.41292	1.70406	0.0	0.73278	0.19041	0.02103	-0.23438	0.20461	278.0392	0.03186	0.01605	0.02187	0.42577	0.89894	0.0	0.01574	0.05744	0.01483	0.2411	0.04158
